ESTADO,CIDADE,NUM_IDOSO
MG,FELÍCIO DOS SANTOS,164
GO,DAMOLÂNDIA,164
SC,IPORÃ DO OESTE,164
PR,LUNARDELLI,164
GO,CASTELÂNDIA,164
RS,VILA MARIA,164
SP,SANTA ERNESTINA,164
RN,SEVERIANO MELO,164
MG,TAPIRA,164
SC,SÃO CRISTÓVÃO DO SUL,164
GO,BURITI DE GOIÁS,164
MG,PIRAJUBA,164
AL,LIMOEIRO DE ANADIA,164
MG,CURRAL DE DENTRO,164
RS,SEGREDO,163
RS,BOA VISTA DO BURICÁ,163
PI,NOSSA SENHORA DE NAZARÉ,163
RO,NOVA UNIÃO,163
PR,OURIZONA,163
CE,ABAIARA,163
MT,NOVO SÃO JOAQUIM,163
BA,FEIRA DA MATA,163
RS,AMARAL FERRADOR,163
MG,ROSÁRIO DA LIMEIRA,163
BA,AIQUARA,163
MG,VARGEM BONITA,163
MG,SANTO HIPÓLITO,163
MG,CASA GRANDE,163
PI,VÁRZEA GRANDE,163
MG,CONCEIÇÃO DA BARRA DE MINAS,163
RS,SEVERIANO DE ALMEIDA,163
MG,IBITURUNA,163
SE,FEIRA NOVA,163
MS,PARAÍSO DAS ÁGUAS,162
RS,SÃO DOMINGOS DO SUL,162
MG,NAQUE,162
SC,PONTE ALTA DO NORTE,162
PI,SÃO JOÃO DA SERRA,162
MT,CURVELÂNDIA,162
PB,OLIVEDOS,162
PB,CACIMBA DE AREIA,162
MG,FREI GASPAR,162
PB,SÃO MIGUEL DE TAIPU,162
BA,UMBURANAS,162
PE,PARANATAMA,162
PR,IVATUBA,162
PI,SANTO ANTÔNIO DE LISBOA,162
MG,ROMARIA,162
PB,MONTE HOREBE,162
MG,CÓRREGO NOVO,162
MG,SANTA ROSA DA SERRA,162
PB,CATINGUEIRA,162
MA,PAULO RAMOS,162
PI,REDENÇÃO DO GURGUÉIA,162
PE,CALUMBI,162
PR,SANTA AMÉLIA,162
BA,TEOLÂNDIA,162
TO,ITAGUATINS,162
SP,LUCIANÓPOLIS,162
GO,VICENTINÓPOLIS,162
SC,PALMEIRA,162
MG,SENADOR CORTES,162
MG,PRATINHA,162
RS,ENTRE RIOS DO SUL,162
MG,CRUZEIRO DA FORTALEZA,161
BA,CAETANOS,161
GO,MAMBAÍ,161
GO,MAIRIPOTABA,161
MT,BOM JESUS DO ARAGUAIA,161
PI,JARDIM DO MULATO,161
SP,JUMIRIM,161
MG,CRISTÁLIA,161
PA,SANTA CRUZ DO ARARI,161
MG,ARGIRITA,161
MA,SÃO FÉLIX DE BALSAS,161
GO,PEROLÂNDIA,161
MG,SANTANA DE CATAGUASES,161
PB,BOM SUCESSO,161
PI,AGRICOLÂNDIA,161
RN,SERRINHA,161
SP,FLORA RICA,161
RS,BARÃO,161
SC,PAINEL,161
RN,BARCELONA,161
RS,SÃO JOÃO DA URTIGA,161
MG,ARAÇAÍ,161
MG,COMENDADOR GOMES,161
PE,GRANITO,161
TO,RIO SONO,161
MG,BERTÓPOLIS,161
AM,TONANTINS,161
GO,DIVINÓPOLIS DE GOIÁS,161
PI,RIBEIRO GONÇALVES,161
GO,VILA PROPÍCIO,161
SE,SANTANA DO SÃO FRANCISCO,160
RS,ARARICÁ,160
GO,AMERICANO DO BRASIL,160
MA,BOA VISTA DO GURUPI,160
SP,ESTRELA DO NORTE,160
SC,TREZE DE MAIO,160
RN,ANTÔNIO MARTINS,160
GO,PROFESSOR JAMIL,160
SC,ANGELINA,160
MG,DIVISA ALEGRE,160
PR,PAULA FREITAS,160
PI,ELISEU MARTINS,160
PI,MONSENHOR HIPÓLITO,160
MT,LAMBARI D'OESTE,160
MG,CATAS ALTAS DA NORUEGA,160
RN,LAJES PINTADAS,160
MG,DIOGO DE VASCONCELOS,160
MG,MATHIAS LOBATO,160
PI,HUGO NAPOLEÃO,160
MG,SÃO FÉLIX DE MINAS,160
GO,NOVO PLANALTO,160
SP,PONTALINDA,160
TO,NOVO ACORDO,159
PI,SUSSUAPARA,159
BA,CORDEIROS,159
BA,IGRAPIÚNA,159
AM,MARAÃ,159
MG,CASCALHO RICO,159
SP,PEDRINHAS PAULISTA,159
MT,PONTE BRANCA,159
SP,TEJUPÁ,159
MG,PEDRA DO ANTA,159
GO,SANTO ANTÔNIO DA BARRA,159
SP,QUEIROZ,159
RN,BENTO FERNANDES,159
SP,BARÃO DE ANTONINA,159
MA,JENIPAPO DOS VIEIRAS,159
MG,SENADOR MODESTINO GONÇALVES,159
SP,SANTA CLARA D'OESTE,159
MT,SÃO JOSÉ DO POVO,159
PI,CARACOL,159
RS,CERRO BRANCO,159
PI,SANTA CRUZ DO PIAUÍ,159
GO,PALESTINA DE GOIÁS,159
MG,QUELUZITO,159
PR,TUNAS DO PARANÁ,159
PB,GADO BRAVO,159
SP,PARAÍSO,159
SP,GAVIÃO PEIXOTO,159
BA,CORONEL JOÃO SÁ,158
RS,SÃO VALENTIM,158
MG,PESCADOR,158
GO,RIANÁPOLIS,158
SP,SUZANÁPOLIS,158
MT,CASTANHEIRA,158
RS,NOVA ESPERANÇA DO SUL,158
MA,PORTO RICO DO MARANHÃO,158
RN,JAPI,158
MG,ROCHEDO DE MINAS,158
SE,GRACCHO CARDOSO,158
GO,HIDROLINA,158
PB,POÇO DE JOSÉ DE MOURA,158
GO,CÓRREGO DO OURO,158
PB,SÃO JOSÉ DA LAGOA TAPADA,158
PR,IMBAÚ,158
PR,MERCEDES,158
PB,BARAÚNA,158
RS,CAMPOS BORGES,158
RN,EQUADOR,158
AL,IBATEGUARA,158
RS,MONTE BELO DO SUL,158
TO,SÍTIO NOVO DO TOCANTINS,158
AM,UARINI,158
RN,RAFAEL GODEIRO,158
PA,NOVA IPIXUNA,158
TO,DARCINÓPOLIS,158
PE,MANARI,158
MG,GONZAGA,158
SC,VARGEM BONITA,158
PR,RESERVA DO IGUAÇU,158
RR,SÃO JOÃO DA BALIZA,158
MS,JAPORÃ,158
TO,NOVA ROSALÂNDIA,157
SP,INÚBIA PAULISTA,157
MT,NOVA BRASILÂNDIA,157
GO,MIMOSO DE GOIÁS,157
MA,PRESIDENTE MÉDICI,157
MG,FRANCISCÓPOLIS,157
RS,CASEIROS,157
RS,PARECI NOVO,157
GO,BONÓPOLIS,157
MG,SANTO ANTÔNIO DO ITAMBÉ,157
GO,UIRAPURU,157
TO,AURORA DO TOCANTINS,157
MG,IBIRACATU,157
CE,ALTANEIRA,157
MT,ITAÚBA,157
SP,PLATINA,157
GO,IVOLÂNDIA,157
PB,ASSUNÇÃO,157
SP,ZACARIAS,157
SC,CAPÃO ALTO,157
MG,ESPÍRITO SANTO DO DOURADO,157
TO,COUTO MAGALHÃES,157
PI,SÃO JOSÉ DO PEIXE,157
MG,CAMPO AZUL,157
PB,RIACHO DOS CAVALOS,156
PA,BREJO GRANDE DO ARAGUAIA,156
PB,PEDRO RÉGIS,156
PR,SANTO ANTONIO DO CAIUÁ,156
MG,SANTA FÉ DE MINAS,156
PI,CAJUEIRO DA PRAIA,156
PB,SÃO JOSÉ DOS CORDEIROS,156
MG,SÃO JOSÉ DO DIVINO,156
PI,CAMPINAS DO PIAUÍ,156
MT,SÃO JOSÉ DO XINGU,156
PB,CALDAS BRANDÃO,156
PI,ILHA GRANDE,156
BA,DOM MACEDO COSTA,156
AM,AMATURÁ,156
PI,NOVO ORIENTE DO PIAUÍ,156
TO,FÁTIMA,156
RS,IVORÁ,156
SP,CORUMBATAÍ,156
MS,NOVO HORIZONTE DO SUL,156
BA,MALHADA DE PEDRAS,156
RS,ITATIBA DO SUL,156
MG,SETUBINHA,156
GO,SÃO LUIZ DO NORTE,156
SP,AREIAS,156
PR,ARAPUÃ,156
PI,AROAZES,156
MG,NOVA PORTEIRINHA,155
SC,RIQUEZA,155
MG,BIQUINHAS,155
RS,BRAGA,155
MG,URUANA DE MINAS,155
PE,INGAZEIRA,155
RS,JACUTINGA,155
PR,PATO BRAGADO,155
GO,TERESINA DE GOIÁS,155
SP,GABRIEL MONTEIRO,155
MA,SÃO BENEDITO DO RIO PRETO,155
PB,SOBRADO,155
MG,FRUTA DE LEITE,155
RN,RAFAEL FERNANDES,155
RN,TENENTE LAURENTINO CRUZ,155
GO,CHAPADÃO DO CÉU,155
MT,CANABRAVA DO NORTE,155
BA,HELIÓPOLIS,155
RS,TRÊS PALMEIRAS,155
SP,GUZOLÂNDIA,154
RN,FERNANDO PEDROZA,154
MG,CORONEL PACHECO,154
MG,CAPITÃO ANDRADE,154
PE,JUCATI,154
BA,LAFAIETE COUTINHO,154
MG,LIMEIRA DO OESTE,154
PI,DOM INOCÊNCIO,154
SP,NOVA CANAÃ PAULISTA,154
PI,SANTA FILOMENA,154
SP,ITAOCA,154
PR,BOA VENTURA DE SÃO ROQUE,154
SP,MERIDIANO,154
MS,FIGUEIRÃO,154
MA,BERNARDO DO MEARIM,154
RS,MONTE ALEGRE DOS CAMPOS,154
MG,CAMACHO,154
AL,OLIVENÇA,154
RS,CAPÃO DO CIPÓ,154
RO,ALTO ALEGRE DOS PARECIS,154
MG,CORONEL XAVIER CHAVES,154
PI,PRATA DO PIAUÍ,154
PR,NOVA AMÉRICA DA COLINA,154
PB,RIACHÃO DO BACAMARTE,154
MG,ANTÔNIO PRADO DE MINAS,153
PE,ITACURUBA,153
PI,BAIXA GRANDE DO RIBEIRO,153
PI,ISAÍAS COELHO,153
RN,SÍTIO NOVO,153
TO,JAÚ DO TOCANTINS,153
PI,COIVARAS,153
MG,CACHOEIRA DOURADA,153
PB,VÁRZEA,153
PB,MONTADAS,153
SC,CERRO NEGRO,153
PB,CARAÚBAS,153
BA,IBIQUERA,153
RS,NOVA ARAÇÁ,153
SC,CORDILHEIRA ALTA,153
TO,APARECIDA DO RIO NEGRO,153
RS,COTIPORÃ,153
MG,SÃO THOMÉ DAS LETRAS,153
RO,CAMPO NOVO DE RONDÔNIA,153
BA,IRAJUBA,153
AL,BELÉM,153
RS,ITATI,153
SP,DOLCINÓPOLIS,153
MT,ITANHANGÁ,153
GO,SANTA ROSA DE GOIÁS,152
SC,IPUMIRIM,152
RS,IBARAMA,152
AP,ITAUBAL,152
PB,IBIARA,152
RS,TAQUARUÇU DO SUL,152
MG,LEME DO PRADO,152
SP,NOVAIS,152
TO,PRAIA NORTE,152
MG,SÃO JOÃO DO PACUÍ,152
RS,EREBANGO,152
SP,CRUZÁLIA,152
BA,CRAVOLÂNDIA,152
SC,SÃO JOÃO DO ITAPERIÚ,152
PI,DIRCEU ARCOVERDE,152
PR,ALTAMIRA DO PARANÁ,152
SP,OCAUÇU,152
PR,ALTO PARAÍSO,152
RS,COLORADO,152
PI,SÃO GONÇALO DO PIAUÍ,152
SP,PARISI,152
RN,FRUTUOSO GOMES,152
MT,NOVO MUNDO,152
TO,SANDOLÂNDIA,152
GO,MUTUNÓPOLIS,152
PB,CACIMBAS,152
PI,PATOS DO PIAUÍ,152
PI,JATOBÁ DO PIAUÍ,152
GO,NOVA AURORA,152
PB,SERTÃOZINHO,152
MA,SANTANA DO MARANHÃO,151
AL,PARICONHA,151
SP,TURIÚBA,151
SP,CABRÁLIA PAULISTA,151
MG,GUARACIAMA,151
PR,GUAPOREMA,151
RN,CORONEL JOÃO PESSOA,151
SE,CUMBE,151
RN,SÃO FERNANDO,151
RS,BROCHIER,151
PI,SÃO JOÃO DO ARRAIAL,151
AC,ASSIS BRASIL,151
SC,MODELO,151
AL,BRANQUINHA,151
MA,BACURITUBA,151
MG,DOM VIÇOSO,151
MG,CÔNEGO MARINHO,151
SC,AGRONÔMICA,151
GO,ADELÂNDIA,151
SP,MACEDÔNIA,151
TO,PEQUIZEIRO,151
PB,LAGOA,151
GO,MOIPORÁ,151
PE,VERTENTE DO LÉRIO,151
RO,TEIXEIRÓPOLIS,151
RS,JABOTICABA,151
BA,NOVO HORIZONTE,151
BA,LAJEDO DO TABOCAL,151
RS,DOIS LAJEADOS,151
BA,SÃO JOSÉ DA VITÓRIA,150
SC,SÃO JOÃO DO SUL,150
PI,LAGOINHA DO PIAUÍ,150
SP,MAGDA,150
MG,CÓRREGO FUNDO,150
RS,PINHAL DA SERRA,150
SP,EMBAÚBA,150
SP,GASTÃO VIDIGAL,150
TO,BOM JESUS DO TOCANTINS,150
TO,MARIANÓPOLIS DO TOCANTINS,150
TO,PAU D'ARCO,150
PB,NOVA OLINDA,150
SC,PEDRAS GRANDES,150
GO,ÁGUA LIMPA,150
MA,SATUBINHA,150
RR,SÃO LUIZ,150
PR,SANTA LÚCIA,150
MG,CANTAGALO,150
PB,CURRAL DE CIMA,150
PB,SÃO FRANCISCO,150
RN,RODOLFO FERNANDES,150
RS,CAPÃO BONITO DO SUL,150
MG,IMBÉ DE MINAS,150
GO,TROMBAS,150
PR,GODOY MOREIRA,150
RS,SÃO VALENTIM DO SUL,150
SC,MATOS COSTA,150
MA,FORMOSA DA SERRA NEGRA,150
RS,PORTO MAUÁ,150
SC,IOMERÊ,150
SE,CANHOBA,150
MG,ARANTINA,149
SP,NOVA GUATAPORANGA,149
MA,BOM LUGAR,149
BA,PIRAÍ DO NORTE,149
AL,JACUÍPE,149
PR,NOSSA SENHORA DAS GRAÇAS,149
PR,ÂNGULO,149
PB,CUITÉ DE MAMANGUAPE,149
MG,ITACAMBIRA,149
MA,LAGOA GRANDE DO MARANHÃO,149
PA,ABEL FIGUEIREDO,149
MG,SÃO BENTO ABADE,149
PR,GOIOXIM,149
TO,ESPERANTINA,149
SC,JOSÉ BOITEUX,149
PR,SANTA INÊS,149
MG,ICARAÍ DE MINAS,149
SC,ARABUTÃ,149
SP,RIBEIRÃO CORRENTE,149
PR,CORUMBATAÍ DO SUL,149
MG,CONCEIÇÃO DAS PEDRAS,149
GO,CACHOEIRA DE GOIÁS,149
SC,ANCHIETA,149
RS,NOVO MACHADO,149
SC,VITOR MEIRELES,149
SP,SÃO JOÃO DAS DUAS PONTES,149
GO,MATRINCHÃ,149
AM,JURUÁ,148
AL,CAMPESTRE,148
PR,BARRA DO JACARÉ,148
TO,PINDORAMA DO TOCANTINS,148
RS,FAZENDA VILANOVA,148
MG,NOVA MÓDICA,148
SP,NOVA INDEPENDÊNCIA,148
AM,IPIXUNA,148
GO,MONTIVIDIU DO NORTE,148
MG,DESTERRO DO MELO,148
BA,PLANALTINO,148
RO,CORUMBIARA,148
GO,DAMIANÓPOLIS,148
TO,SANTA FÉ DO ARAGUAIA,148
RS,SILVEIRA MARTINS,148
MT,SANTA CARMEM,148
MG,LUISBURGO,148
RO,MINISTRO ANDREAZZA,148
MG,SÃO GERALDO DO BAIXIO,148
PB,SÃO JOSÉ DE CAIANA,148
PB,PEDRA BRANCA,148
BA,MATINA,148
PR,FLOR DA SERRA DO SUL,148
SC,PETROLÂNDIA,148
PI,BOM PRINCÍPIO DO PIAUÍ,148
MG,INDAIABIRA,147
MT,RIBEIRÃOZINHO,147
SC,ARROIO TRINTA,147
MG,MONJOLOS,147
MA,SÃO DOMINGOS DO AZEITÃO,147
PB,SÃO JOSÉ DOS RAMOS,147
PI,BOQUEIRÃO DO PIAUÍ,147
PR,DIAMANTE DO SUL,147
MA,CONCEIÇÃO DO LAGO-AÇU,147
RS,DEZESSEIS DE NOVEMBRO,147
MG,ALAGOA,147
TO,CASEARA,147
MG,VARJÃO DE MINAS,147
PR,GUAMIRANGA,147
PI,ALVORADA DO GURGUÉIA,147
RS,CORONEL BARROS,147
TO,SANTA ROSA DO TOCANTINS,147
RS,SÃO JOSÉ DOS AUSENTES,146
PI,JERUMENHA,146
GO,ESTRELA DO NORTE,146
MA,JOSELÂNDIA,146
PI,COLÔNIA DO PIAUÍ,146
PB,NOVA PALMEIRA,146
PB,ALCANTIL,146
GO,SANTA FÉ DE GOIÁS,146
SP,TURMALINA,146
MG,NINHEIRA,146
MG,BUGRE,146
RN,RUY BARBOSA,146
AM,ANAMÃ,146
SP,BENTO DE ABREU,146
MA,LAGOA DO MATO,146
PR,VIRMOND,146
PR,RAMILÂNDIA,146
MG,DOURADOQUARA,146
RN,SERRA DE SÃO BENTO,146
PB,OURO VELHO,146
RN,SANTA MARIA,146
TO,NAZARÉ,146
TO,PALMEIRAS DO TOCANTINS,146
PR,FLÓRIDA,146
RO,SÃO FELIPE D'OESTE,146
PI,LAGOA ALEGRE,146
RS,VICTOR GRAEFF,146
RN,PILÕES,146
RS,PASSA SETE,146
AM,ATALAIA DO NORTE,146
RS,MORMAÇO,146
MG,FERNANDES TOURINHO,146
SP,MOMBUCA,145
MG,FORTALEZA DE MINAS,145
SP,BREJO ALEGRE,145
PA,PALESTINA DO PARÁ,145
MS,TAQUARUSSU,145
SC,IMBUIA,145
RN,ENCANTO,145
TO,BARRA DO OURO,145
TO,PRESIDENTE KENNEDY,145
MG,SENADOR JOSÉ BENTO,145
SP,NANTES,145
RS,SANTA MARIA DO HERVAL,145
PB,SÃO DOMINGOS DO CARIRI,145
TO,BERNARDO SAYÃO,145
GO,GUARANI DE GOIÁS,145
SE,MALHADA DOS BOIS,145
MG,UNIÃO DE MINAS,145
PI,JÚLIO BORGES,145
PR,BRASILÂNDIA DO SUL,145
PB,MARCAÇÃO,145
MG,SENADOR AMARAL,145
RS,VILA FLORES,145
RS,ERNESTINA,144
PI,RIACHO FRIO,144
MT,JURUENA,144
MG,NOVORIZONTE,144
GO,NOVA IGUAÇU DE GOIÁS,144
PR,FOZ DO JORDÃO,144
RS,MATO LEITÃO,144
RS,LAGOÃO,144
RR,CAROEBE,144
PB,DUAS ESTRADAS,144
MG,ALBERTINA,144
GO,GAMELEIRA DE GOIÁS,144
SC,JABORÁ,144
MT,FELIZ NATAL,144
PB,SÃO SEBASTIÃO DO UMBUZEIRO,144
GO,DIORAMA,144
MG,LAGOA DOS PATOS,144
GO,MORRO AGUDO DE GOIÁS,144
PR,ANAHY,144
SC,IRACEMINHA,144
MA,MATA ROMA,144
MT,APIACÁS,144
SP,JOÃO RAMALHO,143
AL,COITÉ DO NÓIA,143
SE,SÃO MIGUEL DO ALEIXO,143
RS,BARRA FUNDA,143
RS,CAMPESTRE DA SERRA,143
PI,CALDEIRÃO GRANDE DO PIAUÍ,143
MT,LUCIARA,143
MA,NOVA IORQUE,143
AL,JACARÉ DOS HOMENS,143
PI,CURRALINHOS,143
RS,DOM PEDRO DE ALCÂNTARA,143
BA,NOVA IBIÁ,143
SC,BRUNÓPOLIS,143
SC,RIO RUFINO,143
MG,MEDEIROS,143
MG,PEDRA DOURADA,143
GO,MARZAGÃO,143
MA,ALTAMIRA DO MARANHÃO,143
SC,LINDÓIA DO SUL,143
SP,ARCO-ÍRIS,143
MG,DOM BOSCO,143
RS,NOVO CABRAIS,143
RN,RIACHO DA CRUZ,143
SP,RIBEIRÃO DOS ÍNDIOS,143
PR,BOM SUCESSO DO SUL,143
MG,MAMONAS,143
AP,FERREIRA GOMES,143
PE,TERRA NOVA,143
SC,GALVÃO,143
GO,AMARALINA,143
SP,BOREBI,143
RS,SALDANHA MARINHO,143
TO,ARAGUANÃ,143
MG,TAPARUBA,143
MG,VERMELHO NOVO,143
SP,SÃO JOÃO DO PAU D'ALHO,143
SC,BOM JESUS,142
TO,ITAPIRATINS,142
PR,SANTA MÔNICA,142
RN,SÃO FRANCISCO DO OESTE,142
SP,ITAPIRAPUÃ PAULISTA,142
SC,BELA VISTA DO TOLDO,142
PR,RIO BRANCO DO IVAÍ,142
PR,CAMPO BONITO,142
MG,SANTA EFIGÊNIA DE MINAS,142
MG,TAPIRAÍ,142
MG,SÃO JOÃO DA MATA,142
SP,NOVA LUZITÂNIA,142
PI,BARREIRAS DO PIAUÍ,142
PI,FRANCISCO AYRES,142
PR,PITANGUEIRAS,142
SP,SANTA CRUZ DA ESPERANÇA,142
MG,MIRAVÂNIA,142
SC,SÃO JOÃO DO OESTE,142
TO,CONCEIÇÃO DO TOCANTINS,142
RS,TUNAS,142
PR,ENTRE RIOS DO OESTE,141
PR,MIRADOR,141
MG,WENCESLAU BRAZ,141
PB,SÃO JOÃO DO TIGRE,141
MG,VEREDINHA,141
PR,SULINA,141
MA,BENEDITO LEITE,141
MG,SÃO JOÃO DAS MISSÕES,141
SC,VIDAL RAMOS,141
AL,TANQUE D'ARCA,141
PI,SANTO INÁCIO DO PIAUÍ,141
PB,SANTO ANDRÉ,141
RS,FAXINALZINHO,141
PB,VIEIRÓPOLIS,141
PI,CABECEIRAS DO PIAUÍ,141
PR,BOM JESUS DO SUL,141
RS,DERRUBADAS,141
SC,NOVA ERECHIM,141
PB,SÃO BENTINHO,141
MA,JATOBÁ,141
PR,SÃO JOSÉ DAS PALMEIRAS,140
PI,PALMEIRA DO PIAUÍ,140
PI,JUAZEIRO DO PIAUÍ,140
PB,CAJAZEIRINHAS,140
RN,PASSAGEM,140
PR,BELA VISTA DA CAROBA,140
SC,PARAÍSO,140
PI,NOVO SANTO ANTÔNIO,140
GO,SÍTIO D'ABADIA,140
MT,NOVA LACERDA,140
SP,ESPÍRITO SANTO DO TURVO,140
PI,LAGOA DO SÍTIO,140
PI,MANOEL EMÍDIO,140
GO,TURVELÂNDIA,140
PB,BOM JESUS,140
TO,ARAGOMINAS,140
PR,MARQUINHO,140
RS,EUGÊNIO DE CASTRO,140
PR,SANTO ANTÔNIO DO PARAÍSO,140
PI,ALAGOINHA DO PIAUÍ,140
PB,CASSERENGUE,140
PI,ARRAIAL,140
PA,CURUÁ,139
MG,UMBURATIBA,139
MG,OLARIA,139
PI,PASSAGEM FRANCA DO PIAUÍ,139
MG,CARANAÍBA,139
PI,MARCOLÂNDIA,139
PR,PORTO BARREIRO,139
PR,PRADO FERREIRA,139
TO,SANTA TEREZA DO TOCANTINS,139
RS,SÃO VALÉRIO DO SUL,139
TO,COMBINADO,139
PI,JOAQUIM PIRES,139
PI,ANTÔNIO ALMEIDA,139
MA,SÃO PEDRO DOS CRENTES,139
SC,SALTINHO,139
SC,SALTO VELOSO,139
RS,CAMARGO,139
PR,NOVO ITACOLOMI,139
PR,IGUATU,139
GO,IPIRANGA DE GOIÁS,139
PI,SÃO JOÃO DA CANABRAVA,139
PB,CAPIM,139
RS,ALEGRIA,139
PI,FLORES DO PIAUÍ,139
MG,PAIVA,139
GO,NOVA ROMA,138
TO,GOIANORTE,138
RS,TOROPI,138
BA,APUAREMA,138
RO,RIO CRESPO,138
PB,EMAS,138
GO,SÃO JOÃO DA PARAÚNA,138
AL,FELIZ DESERTO,138
PR,INAJÁ,138
SP,BOM SUCESSO DE ITARARÉ,138
RN,LAGOA DE VELHOS,138
SP,SANTANA DA PONTE PENSA,138
RS,BOM PROGRESSO,138
RS,MARIANO MORO,138
AP,SERRA DO NAVIO,138
PB,MATURÉIA,138
PR,MIRASELVA,138
MG,SERRA AZUL DE MINAS,138
PR,DOUTOR ULYSSES,138
PR,MANFRINÓPOLIS,138
PA,CUMARU DO NORTE,138
PR,IRACEMA DO OESTE,138
TO,TABOCÃO,138
PI,MORRO DO CHAPÉU DO PIAUÍ,138
SC,MIRIM DOCE,138
MG,ARACITABA,138
RN,SERRINHA DOS PINTOS,138
SP,MONÇÕES,137
MG,SANTA RITA DE IBITIPOCA,137
MT,SÃO PEDRO DA CIPA,137
MA,SÃO JOÃO DO CARÚ,137
PE,CALÇADO,137
PI,BARRA D'ALCÂNTARA,137
RS,VALE REAL,137
PI,BOA HORA,137
MA,TUFILÂNDIA,137
RO,CACAULÂNDIA,137
SP,MARAPOAMA,137
PB,PILÕEZINHOS,137
MG,TOCOS DO MOJI,137
MT,NOVA NAZARÉ,137
SC,VARGEM,137
GO,CAMPINAÇU,137
RN,LUCRÉCIA,137
RS,NOVA BRÉSCIA,137
PR,SÃO PEDRO DO PARANÁ,137
TO,TALISMÃ,137
PI,SANTA LUZ,137
PI,NOVA SANTA RITA,137
PB,SERRA DA RAIZ,137
TO,SANTA MARIA DO TOCANTINS,137
RS,BOA VISTA DO CADEADO,137
MG,FRONTEIRA DOS VALES,137
RN,JUNDIÁ,137
SP,ELISIÁRIO,137
PI,MADEIRO,137
RN,PARAZINHO,137
SC,ENTRE RIOS,136
RS,IMIGRANTE,136
SC,PERITIBA,136
PB,MATINHAS,136
SC,SÃO MARTINHO,136
PB,FREI MARTINHO,136
MT,CONQUISTA D'OESTE,136
MG,GRUPIARA,136
MG,MONTEZUMA,136
TO,PALMEIRANTE,136
PI,BURITI DOS MONTES,136
RS,TIO HUGO,136
RN,PARANÁ,136
RS,ESPERANÇA DO SUL,136
MG,SÃO DOMINGOS DAS DORES,136
RS,HARMONIA,136
RS,PIRAPÓ,136
MA,MILAGRES DO MARANHÃO,136
GO,VILA BOA,136
MG,SÃO JOSÉ DA SAFIRA,136
RN,RIACHO DE SANTANA,136
PI,CORONEL JOSÉ DIAS,136
RS,NOVA ALVORADA,135
MG,OLIVEIRA FORTES,135
PR,PORTO RICO,135
SP,LOURDES,135
RS,INHACORÁ,135
MT,NOVA MARILÂNDIA,135
GO,NOVA AMÉRICA,135
RN,CAIÇARA DO NORTE,135
PR,UNIFLOR,135
MG,PADRE CARVALHO,135
PB,SOSSÊGO,135
PR,MATO RICO,135
MG,SANTO ANTÔNIO DO RIO ABAIXO,135
PI,CAMPO LARGO DO PIAUÍ,135
MT,FIGUEIRÓPOLIS D'OESTE,135
RS,VITÓRIA DAS MISSÕES,134
SC,XAVANTINA,134
RS,SENADOR SALGADO FILHO,134
GO,APARECIDA DO RIO DOCE,134
RS,QUEVEDOS,134
RS,VISTA GAÚCHA,134
MT,GLÓRIA D'OESTE,134
TO,CHAPADA DA NATIVIDADE,134
RS,VESPASIANO CORRÊA,134
GO,GUARAÍTA,134
RN,TRIUNFO POTIGUAR,134
PI,SANTA ROSA DO PIAUÍ,134
MG,SÃO SEBASTIÃO DO ANTA,134
GO,GUARINOS,134
MG,SERRANOS,134
PR,ARIRANHA DO IVAÍ,134
TO,ABREULÂNDIA,134
AL,CAMPO GRANDE,134
MG,OLÍMPIO NORONHA,134
RN,SÃO BENTO DO NORTE,134
MT,PLANALTO DA SERRA,134
MA,GOVERNADOR LUIZ ROCHA,134
GO,SÃO PATRÍCIO,134
MG,PRESIDENTE KUBITSCHEK,134
PB,SÃO DOMINGOS,133
MG,JAPARAÍBA,133
MG,BERIZAL,133
SP,FERNÃO,133
SC,TREVISO,133
RS,SANTO ANTÔNIO DO PLANALTO,133
SC,FREI ROGÉRIO,133
MG,PEDRA BONITA,133
RS,RIO DOS ÍNDIOS,133
RN,IPUEIRA,133
MG,SANTA CRUZ DE SALINAS,133
PI,PAU D'ARCO DO PIAUÍ,133
TO,CAMPOS LINDOS,133
AP,PRACUÚBA,133
PI,MASSAPÊ DO PIAUÍ,133
SE,GENERAL MAYNARD,133
PI,SÃO JOÃO DA FRONTEIRA,133
MG,ITAMBÉ DO MATO DENTRO,133
PB,CATURITÉ,133
AM,JAPURÁ,133
RN,PEDRA GRANDE,133
RS,VISTA ALEGRE,133
MG,MONTE FORMOSO,133
RS,RELVADO,133
MG,PASSABÉM,133
RS,MAMPITUBA,132
PI,SÃO JOSÉ DO PIAUÍ,132
RS,JACUIZINHO,132
MG,SÃO SEBASTIÃO DO RIO PRETO,132
PR,CAFEARA,132
SP,URU,132
PB,COXIXOLA,132
PR,NOVA ESPERANÇA DO SUDOESTE,132
PI,COCAL DE TELHA,132
SC,TUNÁPOLIS,132
TO,LAGOA DO TOCANTINS,132
RS,PINHEIRINHO DO VALE,132
SC,DOUTOR PEDRINHO,132
SC,MAJOR GERCINO,132
RS,BOZANO,131
PI,CAJAZEIRAS DO PIAUÍ,131
RO,PRIMAVERA DE RONDÔNIA,131
MG,PASSA VINTE,131
SP,PAULISTÂNIA,131
PI,MILTON BRANDÃO,131
RS,MATO CASTELHANO,131
RS,NOVO BARREIRO,131
SP,ASPÁSIA,131
