ESTADO,CIDADE,NUM_JOVEM
SP,MIRACATU,209
MS,ANASTÁCIO,209
PI,UNIÃO,209
MG,UBAPORANGA,209
MG,JANUÁRIA,209
PR,LARANJEIRAS DO SUL,209
PE,CUPIRA,209
SP,IGARAÇU DO TIETÊ,209
SP,JAGUARIÚNA,209
SC,GASPAR,209
MG,MARIANA,209
CE,MILAGRES,209
PE,VERTENTES,209
SP,CAJATI,209
PI,PIRIPIRI,209
MA,VITORINO FREIRE,209
RS,ALEGRETE,209
PA,ELDORADO DOS CARAJÁS,209
MS,SIDROLÂNDIA,209
SP,APIAÍ,209
PA,CURRALINHO,209
MG,BRUMADINHO,209
SC,BIGUAÇU,209
PE,ITAQUITINGA,209
RS,CANDELÁRIA,209
PB,SÃO JOSÉ DE PIRANHAS,208
ES,PIÚMA,208
PR,PAIÇANDU,208
ES,ÁGUA DOCE DO NORTE,208
SP,JUQUITIBA,208
CE,CRATEÚS,208
RS,PANAMBI,208
AM,AUTAZES,208
PB,AREIA,208
MT,CAMPINÁPOLIS,208
MG,BOA ESPERANÇA,208
PE,TABIRA,208
SP,IBATÉ,208
SC,FRAIBURGO,208
PE,BONITO,208
MG,SARZEDO,208
PR,FAXINAL,208
SP,PARANAPANEMA,208
PA,VISEU,208
TO,PORTO NACIONAL,208
MA,TRIZIDELA DO VALE,208
PE,OROCÓ,208
BA,ITAJUÍPE,208
BA,GLÓRIA,208
BA,BELO CAMPO,208
RN,APODI,208
PR,CAMPINA GRANDE DO SUL,208
MS,TERENOS,208
PB,ALAGOA GRANDE,208
SP,CÂNDIDO MOTA,207
PR,SENGÉS,207
GO,PIRES DO RIO,207
ES,AFONSO CLÁUDIO,207
GO,BOM JESUS DE GOIÁS,207
SP,BASTOS,207
PE,BARREIROS,207
BA,BELMONTE,207
MA,SÃO MATEUS DO MARANHÃO,207
SP,AMÉRICO BRASILIENSE,207
PA,BAGRE,207
SP,TIETÊ,207
PR,BANDEIRANTES,207
ES,DOMINGOS MARTINS,207
SP,ITATINGA,207
BA,RIO REAL,207
SP,SALTO DE PIRAPORA,207
ES,IÚNA,207
PE,SALOÁ,207
PE,FLORES,207
RJ,SAPUCAIA,207
PR,CERRO AZUL,207
MT,COTRIGUAÇU,207
CE,PORANGA,207
SP,BOM JESUS DOS PERDÕES,207
PA,CUMARU DO NORTE,207
SP,LOUVEIRA,207
MT,NOVA OLÍMPIA,207
AP,OIAPOQUE,207
SP,PRESIDENTE EPITÁCIO,207
MT,ARIPUANÃ,206
PR,RESERVA,206
SP,AGUDOS,206
SP,JALES,206
MS,IVINHEMA,206
RO,THEOBROMA,206
PE,IPUBI,206
PE,PALMARES,206
MA,JOÃO LISBOA,206
PB,ITABAIANA,206
SC,RIO NEGRINHO,206
PR,MANDAGUAÇU,206
PR,UBIRATÃ,206
PA,ÓBIDOS,206
PE,SANTA FILOMENA,206
RO,MIRANTE DA SERRA,206
SE,TOBIAS BARRETO,206
SP,ARAÇOIABA DA SERRA,206
CE,ARARIPE,206
PE,RIBEIRÃO,206
MT,CAMPO VERDE,206
SP,BROTAS,206
SP,VINHEDO,206
BA,PARAMIRIM,206
CE,SENADOR POMPEU,206
PR,ASSIS CHATEAUBRIAND,206
SP,APARECIDA,206
AL,MATA GRANDE,206
TO,COLINAS DO TOCANTINS,206
SP,SÃO JOAQUIM DA BARRA,205
AL,SÃO SEBASTIÃO,205
SP,BARIRI,205
ES,ALEGRE,205
BA,TREMEDAL,205
PR,CAFELÂNDIA,205
MA,PORTO FRANCO,205
SC,CAMPOS NOVOS,205
SP,DESCALVADO,205
GO,GUAPÓ,205
CE,ARACOIABA,205
RS,IGREJINHA,205
GO,SÃO LUÍS DE MONTES BELOS,205
PB,RIO TINTO,205
RS,ELDORADO DO SUL,205
MG,VIÇOSA,205
PE,LIMOEIRO,205
MG,GUAXUPÉ,205
RJ,VASSOURAS,205
SP,CACHOEIRA PAULISTA,205
MG,IGARAPÉ,205
RS,SOLEDADE,205
PA,SALINÓPOLIS,205
BA,XIQUE-XIQUE,205
SP,PIRACAIA,205
MG,CAPELINHA,205
PR,LAPA,205
PR,PITANGA,205
BA,BARRA DO CHOÇA,205
RS,RIO PARDO,205
PA,PORTO DE MOZ,205
SC,ITUPORANGA,205
PE,AFRÂNIO,205
RO,GOVERNADOR JORGE TEIXEIRA,205
MG,PORTEIRINHA,205
MA,ITAPECURU MIRIM,205
CE,PIQUET CARNEIRO,205
RN,NOVA CRUZ,204
PR,GOIOERÊ,204
SP,DRACENA,204
SP,MONTE ALTO,204
SC,IMBITUBA,204
AL,SÃO JOSÉ DA TAPERA,204
PI,ESPERANTINA,204
PE,ESCADA,204
PI,COCAL,204
SP,GUAÍRA,204
BA,SENHOR DO BONFIM,204
PA,ACARÁ,204
RS,SANT'ANA DO LIVRAMENTO,204
PE,LAGOA DOS GATOS,204
MT,MIRASSOL D'OESTE,204
PE,OROBÓ,204
RN,CAICÓ,204
SP,JARINU,204
MS,SÃO GABRIEL DO OESTE,204
PB,PICUÍ,204
CE,PENTECOSTE,204
SP,BIRITIBA MIRIM,204
CE,UMIRIM,204
CE,INDEPENDÊNCIA,204
GO,SANTA HELENA DE GOIÁS,204
PA,ÁGUA AZUL DO NORTE,204
PE,TACARATU,204
GO,ALEXÂNIA,204
MA,SÃO DOMINGOS DO MARANHÃO,204
SP,PEDREIRA,204
PR,TAPEJARA,204
SC,SÃO MIGUEL DO OESTE,204
BA,PINDOBAÇU,204
PR,SÃO MIGUEL DO IGUAÇU,203
AL,PIRANHAS,203
MG,LAVRAS,203
SP,ITABERÁ,203
CE,VARJOTA,203
RJ,SEROPÉDICA,203
PR,SANTO ANTÔNIO DO SUDOESTE,203
BA,ARACI,203
SP,MORRO AGUDO,203
MG,BRASÍLIA DE MINAS,203
MG,FORMIGA,203
CE,IPAUMIRIM,203
MS,CAARAPÓ,203
MA,CAROLINA,203
CE,ARARENDÁ,203
ES,PRESIDENTE KENNEDY,203
PA,BAIÃO,203
RJ,ARRAIAL DO CABO,203
SP,BARRA BONITA,203
RS,SÃO BORJA,203
CE,JAGUARUANA,203
PI,ÁGUA BRANCA,203
RS,CACHOEIRA DO SUL,203
MG,SALINAS,203
GO,PIRENÓPOLIS,203
MS,ITAPORÃ,203
MG,TRÊS CORAÇÕES,202
PI,SÃO RAIMUNDO NONATO,202
PE,PARANATAMA,202
PR,SIQUEIRA CAMPOS,202
PE,BETÂNIA,202
RJ,SAQUAREMA,202
MS,NOVA ALVORADA DO SUL,202
RN,CURRAIS NOVOS,202
BA,ITABELA,202
CE,PEDRA BRANCA,202
CE,REDENÇÃO,202
BA,MARAGOGIPE,202
CE,BARREIRA,202
AC,EPITACIOLÂNDIA,202
SP,CERQUILHO,202
MG,INHAPIM,202
MG,ANDRADAS,202
PI,PIO IX,202
RJ,SÃO FRANCISCO DE ITABAPOANA,202
RN,BARAÚNA,202
BA,SANTO AMARO,202
MG,VISCONDE DO RIO BRANCO,202
PE,PETROLÂNDIA,202
BA,PONTO NOVO,202
BA,INHAMBUPE,202
PE,ITAMBÉ,202
BA,CARAVELAS,202
SC,VIDEIRA,202
SE,PORTO DA FOLHA,202
PR,IPIRANGA,202
ES,VENDA NOVA DO IMIGRANTE,202
ES,SOORETAMA,202
RN,GOIANINHA,202
PE,ITAPETIM,202
RJ,CONCEIÇÃO DE MACABU,202
PE,TIMBAÚBA,202
MT,PEDRA PRETA,202
MG,VÁRZEA DA PALMA,201
RS,ESTÂNCIA VELHA,201
PA,SANTO ANTÔNIO DO TAUÁ,201
BA,PALMAS DE MONTE ALTO,201
MG,CONCEIÇÃO DO MATO DENTRO,201
BA,SÃO SEBASTIÃO DO PASSÉ,201
PA,PRAINHA,201
SP,DOIS CÓRREGOS,201
PE,SÃO CAITANO,201
PR,MATELÂNDIA,201
MA,SANTO ANTÔNIO DOS LOPES,201
CE,JAGUARIBE,201
MA,PINHEIRO,201
AM,BOCA DO ACRE,201
RN,EXTREMOZ,201
PI,JAICÓS,201
SP,CORDEIRÓPOLIS,201
PA,NOVA IPIXUNA,201
PR,TAMARANA,201
MG,ARAÇUAÍ,201
SP,TAQUARITUBA,201
PB,POMBAL,201
BA,RIBEIRA DO POMBAL,201
PA,AUGUSTO CORRÊA,201
PA,NOVA ESPERANÇA DO PIRIÁ,201
RS,FREDERICO WESTPHALEN,201
PB,SÃO BENTO,201
BA,SEABRA,201
PE,MORENO,201
BA,TUCANO,201
MA,FORMOSA DA SERRA NEGRA,201
RJ,SÃO JOSÉ DO VALE DO RIO PRETO,201
MA,BARREIRINHAS,201
GO,PADRE BERNARDO,200
RS,TAQUARA,200
GO,NERÓPOLIS,200
RN,JOÃO CÂMARA,200
SP,RANCHARIA,200
PE,CANHOTINHO,200
PE,MARAIAL,200
PR,PALOTINA,200
AC,RODRIGUES ALVES,200
PR,ASTORGA,200
AC,XAPURI,200
RS,SÃO GABRIEL,200
RS,MARAU,200
SE,SIMÃO DIAS,200
SP,SANTO ANTÔNIO DE POSSE,200
MS,MIRANDA,200
SP,SANTA CRUZ DAS PALMEIRAS,200
PA,SÃO SEBASTIÃO DA BOA VISTA,200
MG,MATOZINHOS,200
MG,TRÊS PONTAS,200
PB,TAVARES,200
MG,ABAETÉ,200
MT,NOVA XAVANTINA,200
PR,AMPÉRE,200
MG,SANTA BÁRBARA DO LESTE,200
SP,SOCORRO,200
MG,SIMONÉSIA,200
PR,ARAPOTI,200
SC,TIJUCAS,200
RS,DOM PEDRITO,200
SP,ILHA SOLTEIRA,200
MA,DAVINÓPOLIS,199
RS,SANTO ANTÔNIO DA PATRULHA,199
CE,TAMBORIL,199
PR,CURIÚVA,199
MG,ITURAMA,199
BA,QUEIMADAS,199
PI,LUZILÂNDIA,199
GO,ABADIA DE GOIÁS,199
PE,ANGELIM,199
PI,BARRAS,199
MG,SÃO JOÃO DA PONTE,199
PE,SERTÂNIA,199
BA,GUARATINGA,199
MG,SÃO JOSÉ DA LAPA,199
AM,TABATINGA,199
BA,SANTANA,199
SP,CESÁRIO LANGE,199
PA,SÃO DOMINGOS DO ARAGUAIA,199
SP,TEODORO SAMPAIO,199
BA,CONCEIÇÃO DO JACUÍPE,199
MG,MONTE CARMELO,199
AC,MANOEL URBANO,199
CE,CAMOCIM,199
MG,PONTE NOVA,199
PR,NOVA ESPERANÇA,199
PA,ANAJÁS,199
SP,IGUAPE,199
RS,OSÓRIO,199
GO,ITAPURANGA,199
MG,SÃO JOÃO DEL REI,199
BA,URANDI,199
PR,COLORADO,199
MS,NIOAQUE,199
PE,SANTA CRUZ,199
MG,SERRA DO SALITRE,199
PB,UIRAÚNA,199
PA,CAPANEMA,199
AL,OLHO D'ÁGUA DAS FLORES,199
BA,BAIANÓPOLIS,198
PR,ARARUNA,198
SP,CAJURU,198
MG,SANTANA DO PARAÍSO,198
PE,SÃO JOSÉ DA COROA GRANDE,198
PB,ALAGOINHA,198
MS,RIBAS DO RIO PARDO,198
PB,INGÁ,198
BA,ENTRE RIOS,198
SP,PRESIDENTE VENCESLAU,198
SP,PIRAJU,198
PE,ITAÍBA,198
MA,SÃO JOÃO DOS PATOS,198
MS,CORONEL SAPUCAIA,198
PE,FEIRA NOVA,198
MS,RIO VERDE DE MATO GROSSO,198
PR,CLEVELÂNDIA,198
CE,PARACURU,198
RR,CARACARAÍ,198
MG,RAUL SOARES,198
RJ,GUAPIMIRIM,198
RJ,PARATY,198
RS,SANTIAGO,198
PR,IMBITUVA,198
BA,ANAGÉ,198
BA,ABARÉ,198
PA,ALMEIRIM,197
PE,FREI MIGUELINHO,197
ES,CASTELO,197
RS,CAPÃO DA CANOA,197
AM,SÃO GABRIEL DA CACHOEIRA,197
BA,IPECAETÁ,197
MA,SANTA QUITÉRIA DO MARANHÃO,197
RS,PORTÃO,197
MG,DIAMANTINA,197
BA,ITACARÉ,197
ES,ANCHIETA,197
GO,RUBIATABA,197
PB,ESPERANÇA,197
MG,MONTE SIÃO,197
MA,ESTREITO,197
PI,ALTOS,197
SC,MARAVILHA,197
MT,POXORÉU,197
SP,VALPARAÍSO,197
PR,MANGUEIRINHA,197
MG,MONTE AZUL,197
SP,ELIAS FAUSTO,197
GO,BELA VISTA DE GOIÁS,197
MA,GOVERNADOR EDISON LOBÃO,197
PA,CURIONÓPOLIS,197
PR,CAMBARÁ,197
BA,ITANHÉM,197
MG,DIVINO,197
PA,CONCÓRDIA DO PARÁ,197
TO,TOCANTINÓPOLIS,197
PA,SANTA MARIA DAS BARREIRAS,197
PB,ÁGUA BRANCA,197
RN,SANTO ANTÔNIO,197
MG,BURITIZEIRO,197
RS,CAÇAPAVA DO SUL,197
RS,CHARQUEADAS,197
BA,WANDERLEY,197
BA,OLINDINA,197
PE,CATENDE,197
ES,BAIXO GUANDU,197
CE,CROATÁ,197
PE,BELÉM DO SÃO FRANCISCO,197
PA,CAPITÃO POÇO,197
RN,CANGUARETAMA,197
RS,SÃO JOSÉ DO NORTE,197
MA,ARAIOSES,196
MG,ALÉM PARAÍBA,196
SP,NOVA GRANADA,196
SP,PIRAPOZINHO,196
RO,ALTO ALEGRE DOS PARECIS,196
PA,IRITUIA,196
SP,GUAPIARA,196
MG,MACHADO,196
PE,JUREMA,196
SC,TIMBÓ,196
MS,ÁGUA CLARA,196
RN,TOUROS,196
RS,SÃO LUIZ GONZAGA,196
PR,CAMPO MAGRO,196
RJ,SANTO ANTÔNIO DE PÁDUA,196
CE,JIJOCA DE JERICOACOARA,196
MA,GONÇALVES DIAS,196
RJ,PORTO REAL,196
SP,ITAJOBI,196
MG,JAÍBA,196
SC,XAXIM,196
SP,ROSANA,196
BA,COCOS,196
PR,RIO NEGRO,196
SE,BARRA DOS COQUEIROS,196
PE,SÃO BENTO DO UNA,196
RO,GUAJARÁ-MIRIM,196
ES,MIMOSO DO SUL,196
MG,CARMÓPOLIS DE MINAS,196
MT,PARANATINGA,196
PE,FLORESTA,196
MA,SÃO RAIMUNDO DAS MANGABEIRAS,196
CE,SABOEIRO,196
RJ,VALENÇA,196
GO,HIDROLÂNDIA,196
PE,JOAQUIM NABUCO,196
BA,IBICOARA,196
PE,GAMELEIRA,196
PE,TEREZINHA,196
CE,CHOROZINHO,196
SP,GUARAREMA,196
BA,CARINHANHA,196
RO,CEREJEIRAS,196
MG,CAMPOS GERAIS,196
PB,MANAÍRA,195
SC,BALNEÁRIO PIÇARRAS,195
RJ,CACHOEIRAS DE MACACU,195
PA,PAU D'ARCO,195
MA,SANTA LUZIA DO PARUÁ,195
AL,MATRIZ DE CAMARAGIBE,195
MS,CASSILÂNDIA,195
CE,CEDRO,195
SP,JUQUIÁ,195
ES,GUAÇUÍ,195
SP,RIO DAS PEDRAS,195
PE,BELÉM DE MARIA,195
SP,MONTE APRAZÍVEL,195
PE,JUPI,195
RJ,IGUABA GRANDE,195
PB,POCINHOS,195
PR,CAPITÃO LEÔNIDAS MARQUES,195
PB,ARARUNA,195
CE,AMONTADA,195
PI,PIRACURUCA,195
PB,SÃO JOÃO DO RIO DO PEIXE,195
SP,OSVALDO CRUZ,195
SP,CASTILHO,195
PE,ALIANÇA,195
BA,MIGUEL CALMON,195
MA,LAGOA DO MATO,195
PR,MARILUZ,195
PR,CHOPINZINHO,195
AL,PILAR,195
GO,ACREÚNA,195
RS,ITAQUI,195
MA,PARAIBANO,195
AL,CAMPO ALEGRE,195
PB,JURU,195
PA,MELGAÇO,195
PE,PRIMAVERA,195
PE,INAJÁ,195
PA,SENADOR JOSÉ PORFÍRIO,195
PR,WENCESLAU BRAZ,195
MG,SÃO JOAQUIM DE BICAS,195
PR,REBOUÇAS,194
RO,CAMPO NOVO DE RONDÔNIA,194
MG,MANHUMIRIM,194
PE,SANTA CRUZ DA BAIXA VERDE,194
MT,ALTO ARAGUAIA,194
PR,CARAMBEÍ,194
RR,ALTO ALEGRE,194
BA,CRISTÓPOLIS,194
PI,URUÇUÍ,194
MG,MATEUS LEME,194
MG,OURO PRETO,194
BA,LAGOA REAL,194
BA,CIPÓ,194
MT,TAPURAH,194
PE,JAQUEIRA,194
RS,TAQUARI,194
MG,PIUMHI,194
RS,CAPÃO DO LEÃO,194
RO,SANTA LUZIA D'OESTE,194
SP,NAZARÉ PAULISTA,194
SP,ITAÍ,194
SP,BURITAMA,194
MG,LAGOA SANTA,194
AM,MAUÉS,194
SP,HOLAMBRA,194
PB,MONTEIRO,194
BA,CANAVIEIRAS,194
SP,GUAPIAÇU,194
AL,BOCA DA MATA,194
MT,ARAPUTANGA,194
ES,SANTA TERESA,194
PR,CAPANEMA,194
MG,CAMPESTRE,194
MG,ITABIRINHA,194
SP,ÁLVARES MACHADO,194
PR,CÂNDIDO DE ABREU,194
MS,ARAL MOREIRA,194
GO,SÃO MIGUEL DO ARAGUAIA,194
BA,RIACHÃO DO JACUÍPE,194
AC,MARECHAL THAUMATURGO,194
PE,LAGOA DO CARRO,193
PB,AROEIRAS,193
AL,PENEDO,193
MA,NOVA OLINDA DO MARANHÃO,193
SC,LAGUNA,193
SC,SÃO LOURENÇO DO OESTE,193
SP,NOVA CAMPINA,193
AC,MÂNCIO LIMA,193
RS,SÃO LOURENÇO DO SUL,193
MG,PERDIZES,193
PA,MUANÁ,193
SP,ADAMANTINA,193
BA,JAGUAQUARA,193
MA,VITÓRIA DO MEARIM,193
MG,SANTA BÁRBARA,193
TO,GOIATINS,193
PR,REALEZA,193
GO,IPAMERI,193
SC,SEARA,193
BA,CATU,193
MA,FORTUNA,193
SE,CAPELA,193
SP,MARTINÓPOLIS,193
CE,PARAIPABA,193
MA,PASSAGEM FRANCA,193
MG,ITAMBACURI,193
BA,ITUAÇU,193
RJ,BARRA DO PIRAÍ,193
BA,AMARGOSA,193
BA,TANQUE NOVO,193
MT,BRASNORTE,193
BA,IBIPITANGA,193
AL,COLÔNIA LEOPOLDINA,193
BA,VALENTE,193
MG,ITAPECERICA,192
CE,IBIAPINA,192
PR,ANTONINA,192
PI,JOSÉ DE FREITAS,192
PA,TRAIRÃO,192
CE,MUCAMBO,192
PR,TERRA ROXA,192
MG,RIO PARANAÍBA,192
SE,NOSSA SENHORA DAS DORES,192
PE,XEXÉU,192
GO,JUSSARA,192
MS,SONORA,192
MA,SÃO LUÍS GONZAGA DO MARANHÃO,192
PR,PEABIRU,192
AL,CANAPI,192
PB,FAGUNDES,192
ES,CONCEIÇÃO DA BARRA,192
RO,CHUPINGUAIA,192
MA,PIO XII,192
PA,SANTA MARIA DO PARÁ,192
BA,CRISÓPOLIS,192
SP,CASA BRANCA,192
RS,PALMEIRA DAS MISSÕES,192
PB,ALAGOA NOVA,192
AL,LIMOEIRO DE ANADIA,192
MG,CARMO DO PARANAÍBA,192
CE,FRECHEIRINHA,192
PR,MAUÁ DA SERRA,192
BA,JOÃO DOURADO,192
RJ,CARMO,192
SP,GUAREÍ,192
AL,BATALHA,192
BA,RUY BARBOSA,192
PA,MARACANÃ,192
AC,CAPIXABA,192
BA,BARRA DA ESTIVA,192
PB,MARI,192
BA,SANTA CRUZ CABRÁLIA,192
BA,IBOTIRAMA,192
MA,VARGEM GRANDE,192
GO,SÃO SIMÃO,191
MA,SÃO FRANCISCO DO BREJÃO,191
BA,CONDE,191
ES,IRUPI,191
PE,JUCATI,191
MA,ALTO ALEGRE DO PINDARÉ,191
BA,ITAMBÉ,191
PE,POMBOS,191
MG,CONGONHAS,191
CE,FARIAS BRITO,191
AM,CODAJÁS,191
MG,PRATA,191
PR,CONGONHINHAS,191
CE,BATURITÉ,191
MG,JUATUBA,191
ES,MUNIZ FREIRE,191
MG,SANTA RITA DO SAPUCAÍ,191
MS,PARANHOS,191
MA,FERNANDO FALCÃO,191
SC,SÃO JOÃO BATISTA,191
MG,IMBÉ DE MINAS,191
AM,GUAJARÁ,191
PR,LOANDA,191
GO,CAIAPÔNIA,191
ES,ECOPORANGA,191
BA,CÂNDIDO SALES,191
BA,ALCOBAÇA,191
SE,CANINDÉ DE SÃO FRANCISCO,191
SC,OTACÍLIO COSTA,191
RS,BUTIÁ,191
MG,MÁRIO CAMPOS,191
BA,CAMACÃ,191
RR,CANTÁ,191
MG,ARAPONGA,191
BA,GANDU,191
RJ,BOM JARDIM,191
BA,IGUAÍ,191
PA,BOM JESUS DO TOCANTINS,191
CE,CARIDADE,191
RS,VACARIA,191
BA,PIATÃ,191
SC,BRAÇO DO NORTE,191
CE,SANTA QUITÉRIA,190
SP,PEREIRA BARRETO,190
PE,CARNAÍBA,190
MG,PARAOPEBA,190
BA,SÃO GONÇALO DOS CAMPOS,190
PI,BATALHA,190
AL,ÁGUA BRANCA,190
CE,IBICUITINGA,190
PI,SÃO JOÃO DO PIAUÍ,190
SP,PARAIBUNA,190
MG,SANTA MARIA DO SUAÇUÍ,190
PR,CORONEL VIVIDA,190
MA,PAULO RAMOS,190
RJ,SILVA JARDIM,190
SP,CHARQUEADA,190
PE,SIRINHAÉM,190
RJ,MANGARATIBA,190
BA,VERA CRUZ,190
SP,IGARAPAVA,190
AM,CARAUARI,190
AL,SÃO JOSÉ DA LAJE,190
RJ,PARAÍBA DO SUL,190
SP,SANTA GERTRUDES,190
RJ,CARDOSO MOREIRA,190
MG,SERRO,190
MG,NOVO CRUZEIRO,190
PB,ALHANDRA,190
AL,MAJOR ISIDORO,190
PE,CUMARU,190
PE,IATI,190
GO,CERES,190
SP,AREIÓPOLIS,190
SC,URUSSANGA,190
RN,MACAU,190
MA,SENADOR LA ROCQUE,190
SC,PENHA,190
SP,TARUMÃ,190
SP,SANTA RITA DO PASSA QUATRO,190
RO,ALTO PARAÍSO,190
SP,PARIQUERA-AÇU,190
MG,SANTA RITA DE MINAS,190
PA,GARRAFÃO DO NORTE,190
CE,GUAIÚBA,190
PI,FRONTEIRAS,189
MA,SÃO JOÃO DO SOTER,189
CE,CRUZ,189
SP,TABATINGA,189
MG,ARCOS,189
PA,AFUÁ,189
GO,URUANA,189
RS,TORRES,189
AM,BORBA,189
MG,SÃO JOÃO DO MANHUAÇU,189
MG,ÁGUAS FORMOSAS,189
GO,ANICUNS,189
SC,PONTE SERRADA,189
PB,BELÉM,189
MG,LEOPOLDINA,189
SC,BALNEÁRIO RINCÃO,189
MS,DOIS IRMÃOS DO BURITI,189
SP,SALESÓPOLIS,189
SP,JACUPIRANGA,189
PR,ALTO PARANÁ,189
PR,CAMPINA DA LAGOA,189
SP,BRODOWSKI,189
PR,PIRAÍ DO SUL,189
PB,PEDRAS DE FOGO,189
PR,ALTÔNIA,189
MA,ROSÁRIO,189
BA,MACARANI,189
AM,CAREIRO,189
SC,PINHALZINHO,189
PR,CORBÉLIA,189
SP,MORUNGABA,189
SP,GUARARAPES,189
BA,RIO DE CONTAS,189
GO,MOZARLÂNDIA,189
RS,ENCRUZILHADA DO SUL,189
SC,SÃO JOSÉ DO CEDRO,189
PB,BANANEIRAS,188
MA,PINDARÉ-MIRIM,188
BA,RIO DO ANTÔNIO,188
PB,JUAZEIRINHO,188
PE,ARAÇOIABA,188
SP,SEVERÍNIA,188
MG,SÃO LOURENÇO,188
PB,LAGOA SECA,188
MT,JUSCIMEIRA,188
PE,SANHARÓ,188
PB,CAAPORÃ,188
BA,ITORORÓ,188
BA,SANTA BRÍGIDA,188
AM,TAPAUÁ,188
PA,JACAREACANGA,188
PR,IPORÃ,188
PA,GURUPÁ,188
MG,JACUTINGA,188
CE,ACARAPE,188
PA,PONTA DE PEDRAS,188
MG,CHALÉ,188
PR,MOREIRA SALES,188
RS,SANTA VITÓRIA DO PALMAR,188
SP,CABREÚVA,188
SC,FORQUILHINHA,188
MG,SÃO JOÃO EVANGELISTA,188
MA,ALDEIAS ALTAS,188
SP,SÃO PEDRO,188
MG,FRANCISCO SÁ,188
SP,PRADÓPOLIS,188
MG,MARTINS SOARES,188
MG,NANUQUE,187
MA,DOM PEDRO,187
MG,IPANEMA,187
CE,URUBURETAMA,187
TO,GUARAÍ,187
MG,GUANHÃES,187
MA,VIANA,187
MG,CANDEIAS,187
MT,JACIARA,187
ES,JAGUARÉ,187
MG,BURITIS,187
MG,CAMPO BELO,187
BA,PLANALTO,187
PR,MANDIRITUBA,187
CE,OCARA,187
MS,LAGUNA CARAPÃ,187
PE,NAZARÉ DA MATA,187
MG,NOVA RESENDE,187
RN,SÃO JOSÉ DE MIPIBU,187
MA,RIACHÃO,187
MG,GUIMARÂNIA,187
PR,MANOEL RIBAS,187
PE,JATAÚBA,187
RJ,TANGUÁ,187
RJ,CORDEIRO,187
PR,ANDIRÁ,187
MT,SÃO JOSÉ DOS QUATRO MARCOS,187
MA,CIDELÂNDIA,187
AM,EIRUNEPÉ,187
MS,ANTÔNIO JOÃO,187
BA,CANDIBA,187
PA,SÃO DOMINGOS DO CAPIM,187
PE,CAETÉS,187
CE,ITAREMA,187
MA,LIMA CAMPOS,187
AM,APUÍ,187
BA,SÃO FRANCISCO DO CONDE,187
PI,AVELINO LOPES,187
AL,BARRA DE SANTO ANTÔNIO,187
PE,CACHOEIRINHA,187
SP,ALUMÍNIO,187
CE,QUIXERÉ,187
BA,TANHAÇU,187
RN,SERRA DO MEL,187
MG,PITANGUI,187
PI,CARACOL,187
SP,CUNHA,186
RO,CUJUBIM,186
ES,SÃO GABRIEL DA PALHA,186
PR,TERRA RICA,186
MT,ITIQUIRA,186
MA,TURIAÇU,186
PA,TERRA SANTA,186
BA,IUIU,186
AC,BUJARI,186
PE,CAMOCIM DE SÃO FÉLIX,186
PR,TRÊS BARRAS DO PARANÁ,186
SC,SANTA CECÍLIA,186
SP,GUARÁ,186
GO,INDIARA,186
MG,CAPUTIRA,186
SP,CERQUEIRA CÉSAR,186
PB,CONDE,186
SC,TAIÓ,186
BA,VÁRZEA DA ROÇA,186
SP,POTIM,186
MS,JARDIM,186
SC,ITAPOÁ,186
MG,SANTOS DUMONT,186
GO,GOIÁS,186
CE,COREAÚ,186
MG,NEPOMUCENO,186
PA,PIÇARRA,186
MG,OLIVEIRA,186
AL,SÃO LUÍS DO QUITUNDE,186
SP,TAMBAÚ,186
AL,INHAPI,186
CE,PORTEIRAS,186
BA,COTEGIPE,186
BA,NAZARÉ,186
RR,MUCAJAÍ,186
PI,MARCOLÂNDIA,186
MG,JEQUERI,186
BA,VÁRZEA NOVA,186
CE,AIUABA,186
CE,MILHÃ,186
MG,SERICITA,186
BA,TABOCAS DO BREJO VELHO,185
ES,VILA VALÉRIO,185
SC,MORRO DA FUMAÇA,185
SP,SANTA ROSA DE VITERBO,185
RN,NÍSIA FLORESTA,185
PR,MARMELEIRO,185
RO,MINISTRO ANDREAZZA,185
PI,CORRENTE,185
MS,MUNDO NOVO,185
AL,CAPELA,185
PE,BARRA DE GUABIRABA,185
MG,LAGOA DA PRATA,185
RS,GARIBALDI,185
RS,SÃO JERÔNIMO,185
PB,TEIXEIRA,185
BA,BURITIRAMA,185
SP,CAFELÂNDIA,185
CE,PENAFORTE,185
ES,MARECHAL FLORIANO,185
AM,PRESIDENTE FIGUEIREDO,185
BA,CACHOEIRA,185
CE,MARCO,185
SP,ELDORADO,185
AL,ANADIA,185
MG,TEIXEIRAS,185
BA,BOQUIRA,185
MT,POCONÉ,185
MA,ESPERANTINÓPOLIS,185
SC,ORLEANS,185
GO,CAÇU,185
MG,AIMORÉS,185
SP,SERRA NEGRA,185
RJ,QUISSAMÃ,185
AL,MARAGOGI,184
PB,CRUZ DO ESPÍRITO SANTO,184
MA,CAPINZAL DO NORTE,184
PR,MISSAL,184
MG,NOVA PONTE,184
PE,VERDEJANTE,184
BA,LAJE,184
SE,NOSSA SENHORA DA GLÓRIA,184
MT,PORTO ALEGRE DO NORTE,184
PB,JERICÓ,184
AM,BARCELOS,184
BA,CAMAMU,184
SP,JOANÓPOLIS,184
CE,CATARINA,184
RO,MONTE NEGRO,184
BA,CACULÉ,184
