ESTADO,CIDADE,NUM_JOVEM
BA,TEIXEIRA DE FREITAS,282
SP,INDAIATUBA,281
RN,PARNAMIRIM,281
MA,CAXIAS,281
SP,UBATUBA,279
BA,LUÍS EDUARDO MAGALHÃES,279
GO,TRINDADE,278
SP,PINDAMONHANGABA,278
PB,QUEIMADAS,277
RO,JARU,277
SP,SERTÃOZINHO,276
PA,ABAETETUBA,276
GO,ÁGUAS LINDAS DE GOIÁS,276
CE,QUIXERAMOBIM,276
MG,PATROCÍNIO,275
RO,CACOAL,275
MT,TANGARÁ DA SERRA,275
ES,LINHARES,275
PA,TUCURUÍ,274
MT,SINOP,273
PE,GARANHUNS,273
BA,LAURO DE FREITAS,272
PE,ABREU E LIMA,272
CE,TAUÁ,271
GO,SENADOR CANEDO,271
SP,IBIÚNA,270
SP,CARAGUATATUBA,270
PR,FAZENDA RIO GRANDE,270
PR,APUCARANA,270
MA,TIMON,269
MG,VESPASIANO,269
SP,BOTUCATU,269
SP,ATIBAIA,269
PA,NOVO REPARTIMENTO,268
ES,MARATAÍZES,268
SP,ITAPEVI,267
SP,FRANCISCO MORATO,267
BA,CAMPO FORMOSO,267
SP,JAÚ,266
BA,GUANAMBI,266
PE,SANTA CRUZ DO CAPIBARIBE,266
SP,ITAPECERICA DA SERRA,266
MT,GUARANTÃ DO NORTE,265
SP,VOTUPORANGA,265
PR,SARANDI,265
SP,MATÃO,265
SC,PALHOÇA,264
CE,ACOPIARA,264
BA,CAETITÉ,264
GO,VALPARAÍSO DE GOIÁS,263
PR,PARANAGUÁ,263
AC,CRUZEIRO DO SUL,263
RO,VILHENA,263
CE,ICÓ,262
PA,TAILÂNDIA,262
PE,GRAVATÁ,262
SP,VÁRZEA PAULISTA,261
MG,ITAJUBÁ,261
CE,MISSÃO VELHA,261
ES,COLATINA,261
PE,SÃO LOURENÇO DA MATA,260
BA,CASA NOVA,260
CE,PARAMBU,260
CE,BARBALHA,260
PE,IPOJUCA,259
SP,VOTORANTIM,259
SP,CUBATÃO,259
PA,XINGUARA,259
CE,CRATO,259
CE,MARANGUAPE,259
PR,PINHAIS,258
SP,BARRETOS,258
PR,ARAUCÁRIA,258
PB,PATOS,258
SP,PAULÍNIA,257
GO,CALDAS NOVAS,256
SP,ARARAS,256
PR,ROLÂNDIA,255
PA,PARAGOMINAS,255
SP,SALTO,255
PE,IGARASSU,254
PR,ALMIRANTE TAMANDARÉ,254
PA,URUARÁ,254
MG,SABARÁ,254
GO,NOVO GAMA,253
GO,FORMOSA,253
MT,COMODORO,253
PR,UMUARAMA,253
RO,ARIQUEMES,253
CE,QUIXADÁ,253
SP,CATANDUVA,253
SC,CAMBORIÚ,252
RO,OURO PRETO DO OESTE,252
SP,POÁ,252
PB,BAYEUX,252
CE,ITAPIPOCA,252
SP,SÃO SEBASTIÃO,252
GO,GOIANÉSIA,252
BA,ALAGOINHAS,252
PR,PARANAVAÍ,252
CE,MAURITI,251
SP,BIRIGUI,251
SP,ITAPIRA,251
MG,CONSELHEIRO LAFAIETE,251
PA,TUCUMÃ,251
MT,BARRA DO GARÇAS,251
SP,GUARATINGUETÁ,251
PA,OURILÂNDIA DO NORTE,251
PR,CAMPO MOURÃO,251
RJ,RIO DAS OSTRAS,251
MS,COSTA RICA,250
MG,MURIAÉ,250
PR,ARAPONGAS,250
AC,SENA MADUREIRA,249
MT,SORRISO,249
CE,IGUATU,249
GO,CATALÃO,249
SP,LEME,249
CE,TIANGUÁ,249
SP,ITANHAÉM,249
GO,ITUMBIARA,249
GO,JATAÍ,249
PE,BODOCÓ,249
AL,RIO LARGO,248
PA,BREVES,248
SP,JANDIRA,248
SP,CAJAMAR,248
SP,BOITUVA,248
BA,ITAMARAJU,248
MG,POUSO ALEGRE,247
PE,ARARIPINA,247
PR,MEDIANEIRA,247
SP,SANTANA DE PARNAÍBA,247
SP,AVARÉ,247
MA,AÇAILÂNDIA,247
RN,SÃO GONÇALO DO AMARANTE,246
GO,PLANALTINA,246
SP,PERUÍBE,246
SP,AMPARO,246
RO,ROLIM DE MOURA,246
PA,MOJU,246
SP,MONTE MOR,246
SP,SÃO JOÃO DA BOA VISTA,246
PB,SOUSA,246
MT,ALTA FLORESTA,246
PR,CAMPO LARGO,246
SP,ARUJÁ,245
PE,TUPANATINGA,245
MG,SÃO GOTARDO,245
PA,MEDICILÂNDIA,245
SP,BEBEDOURO,245
CE,PACAJUS,245
PR,PIRAQUARA,245
PR,TOLEDO,245
SP,ITU,245
RJ,QUEIMADOS,244
CE,MORADA NOVA,244
MG,MANHUAÇU,244
MG,ITABIRA,244
CE,IPUEIRAS,244
PA,DOM ELISEU,244
RS,GUAÍBA,244
BA,PILÃO ARCADO,244
MS,NAVIRAÍ,244
MT,LUCAS DO RIO VERDE,244
MA,GRAJAÚ,244
PA,JACUNDÁ,243
MA,SÃO JOSÉ DE RIBAMAR,243
PR,CASTRO,243
CE,HORIZONTE,243
MA,BALSAS,243
SP,CAPIVARI,243
PE,SURUBIM,243
CE,PACATUBA,242
MT,JUÍNA,242
MG,ERVÁLIA,242
MG,NOVA SERRANA,242
PE,LAGOA GRANDE,242
SP,EMBU-GUAÇU,242
BA,BOM JESUS DA LAPA,242
MT,CAMPO NOVO DO PARECIS,242
SP,CAÇAPAVA,242
SP,OURINHOS,241
PE,ARCOVERDE,241
SC,NAVEGANTES,241
RO,SÃO MIGUEL DO GUAPORÉ,241
MA,BARRA DO CORDA,241
PR,TELÊMACO BORBA,241
PE,PAUDALHO,241
SP,PIRASSUNUNGA,241
ES,SÃO MATEUS,241
SP,MOGI MIRIM,241
BA,BRUMADO,241
MG,LAJINHA,240
PA,BREU BRANCO,240
PE,SÃO JOSÉ DO BELMONTE,240
RO,ALTA FLORESTA D'OESTE,240
RS,SAPUCAIA DO SUL,240
SP,IBITINGA,240
RS,CAMAQUÃ,240
PE,CARPINA,240
RS,BENTO GONÇALVES,240
MG,TEÓFILO OTONI,240
AL,PALMEIRA DOS ÍNDIOS,240
SP,LINS,239
SP,SÃO ROQUE,239
CE,GUARACIABA DO NORTE,239
PA,PACAJÁ,239
PE,SÃO JOÃO,239
SP,ITATIBA,238
RS,SAPIRANGA,238
SP,ASSIS,238
MT,ÁGUA BOA,238
SP,CAPÃO BONITO,238
PA,TOMÉ-AÇU,238
SP,FRANCO DA ROCHA,238
SP,COSMÓPOLIS,238
BA,CORRENTINA,238
SP,VALINHOS,237
PR,PALMAS,237
CE,BOA VIAGEM,237
RN,CEARÁ-MIRIM,237
BA,CONCEIÇÃO DO COITÉ,237
PE,PEDRA,237
ES,ITAPEMIRIM,237
BA,CANDEIAS,237
AL,DELMIRO GOUVEIA,237
SP,CAMPO LIMPO PAULISTA,237
PE,SERRA TALHADA,237
PB,CAJAZEIRAS,237
MT,PEIXOTO DE AZEVEDO,237
GO,MINEIROS,237
MA,PARNARAMA,237
BA,DIAS D'ÁVILA,237
AC,TARAUACÁ,236
SC,CAÇADOR,236
MG,ARAXÁ,236
AC,FEIJÓ,236
PE,CABROBÓ,236
ES,IBATIBA,236
SP,LORENA,236
SP,MAIRIPORÃ,236
PA,ANAPU,236
MG,CORONEL FABRICIANO,236
PR,JAGUARIAÍVA,235
PR,CIANORTE,235
PR,PATO BRANCO,235
TO,GURUPI,235
CE,EUSÉBIO,235
CE,IPU,235
MS,AMAMBAI,235
CE,CANINDÉ,235
SP,CAMPOS DO JORDÃO,235
PE,CARNAUBEIRA DA PENHA,235
BA,CAMPO ALEGRE DE LOURDES,235
CE,ACARAÚ,235
MG,VARGINHA,234
RS,ESTEIO,234
RJ,ARARUAMA,234
MG,MATIPÓ,234
SP,PIEDADE,234
PE,TORITAMA,234
MG,UBÁ,234
GO,CRISTALINA,234
GO,ITABERAÍ,234
PA,MARITUBA,234
BA,SIMÕES FILHO,234
MG,NOVA LIMA,233
PR,SANTO ANTÔNIO DA PLATINA,233
PI,PICOS,233
CE,BEBERIBE,233
BA,MONTE SANTO,233
SE,LAGARTO,233
RJ,SÃO FIDÉLIS,233
PR,QUEDAS DO IGUAÇU,233
BA,SANTA MARIA DA VITÓRIA,233
PA,ITUPIRANGA,233
MG,ARAGUARI,233
MT,CÁCERES,233
BA,MUCURI,233
MS,APARECIDA DO TABOADO,233
CE,ARACATI,233
BA,JACOBINA,233
GO,CIDADE OCIDENTAL,232
SP,ARTUR NOGUEIRA,232
MT,SAPEZAL,232
RO,BURITIS,232
PA,CANAÃ DOS CARAJÁS,232
RO,PIMENTA BUENO,232
PA,GOIANÉSIA DO PARÁ,232
PA,IPIXUNA DO PARÁ,232
GO,GOIANIRA,232
GO,QUIRINÓPOLIS,232
PA,BARCARENA,231
RS,IJUÍ,231
SP,MONGAGUÁ,231
MA,AMARANTE DO MARANHÃO,231
MA,BACABAL,231
PR,JACAREZINHO,231
PA,ALENQUER,231
RJ,BOM JESUS DO ITABAPOANA,231
AM,TEFÉ,231
MT,BARRA DO BUGRES,231
MT,PRIMAVERA DO LESTE,231
RJ,MARICÁ,231
ES,BARRA DE SÃO FRANCISCO,231
PA,CAMETÁ,231
CE,AURORA,231
PA,CONCEIÇÃO DO ARAGUAIA,231
SP,CRUZEIRO,231
RO,URUPÁ,231
CE,VÁRZEA ALEGRE,230
PA,BENEVIDES,230
PA,MÃE DO RIO,230
BA,MACAÚBAS,230
PR,IBIPORÃ,230
AP,SANTANA,230
ES,GUARAPARI,230
CE,BREJO SANTO,230
SP,ITARARÉ,230
PA,RURÓPOLIS,230
PR,CAMBÉ,230
SP,FERNANDÓPOLIS,230
SP,BATATAIS,230
GO,SANTO ANTÔNIO DO DESCOBERTO,230
PE,BUÍQUE,230
CE,MORRINHOS,230
PA,RONDON DO PARÁ,230
MT,COLÍDER,229
RS,CANGUÇU,229
PB,GUARABIRA,229
AL,UNIÃO DOS PALMARES,229
CE,RUSSAS,229
RO,SÃO FRANCISCO DO GUAPORÉ,229
BA,ITABERABA,229
SE,NOSSA SENHORA DO SOCORRO,229
SP,PORTO FELIZ,229
PA,IGARAPÉ-MIRI,229
PE,PANELAS,229
AM,COARI,229
MG,PASSOS,228
SE,ITABAIANA,228
PE,SANTA MARIA DA BOA VISTA,228
BA,IRECÊ,228
SP,CONCHAL,228
AM,ITACOATIARA,228
PE,EXU,228
PR,FRANCISCO BELTRÃO,228
AL,SANTANA DO IPANEMA,228
PA,SANTA ISABEL DO PARÁ,228
BA,SERRINHA,228
MT,JUARA,228
RO,NOVA BRASILÂNDIA D'OESTE,228
AL,SÃO MIGUEL DOS CAMPOS,227
MS,COXIM,227
SP,PORTO FERREIRA,227
CE,AQUIRAZ,227
SP,PONTAL,227
SP,ANDRADINA,227
PR,MARECHAL CÂNDIDO RONDON,227
SP,SANTA ISABEL,227
SP,MIRASSOL,227
BA,RIACHÃO DAS NEVES,227
PA,BRAGANÇA,227
AM,MANACAPURU,227
PE,RIACHO DAS ALMAS,227
